3,2,0,0
5,2,0,0
7,2,0,0
9,2,0,0
11,2,0,5
1,3,0,1
12,3,0,4
12,5,0,3
14,5,0,10
3,8,0,5
9,8,0,10
10,8,0,9
8,1,1,4
10,1,1,9
1,2,1,4
3,2,1,9
4,2,1,10
5,2,1,8
11,2,1,4
13,3,1,1
1,4,1,10
1,5,1,9
15,5,1,10
1,6,1,10
1,7,1,3
11,7,1,4
4,8,1,10
5,8,1,5
4,1,2,0
6,1,2,0
8,1,2,0
10,1,2,0
12,1,2,8
1,2,2,3
13,2,2,4
15,3,2,6
1,4,2,3
14,4,2,10
14,5,2,10
16,5,2,10
1,6,2,3
14,6,2,10
4,7,2,0
10,7,2,4
12,7,2,4
14,7,2,9
1,8,2,10
2,8,2,9
3,1,3,4
5,1,3,2
7,1,3,2
9,1,3,4
11,1,3,4
13,1,3,9
1,2,3,5
2,2,3,10
14,2,3,10
4,3,3,10
10,3,3,9
14,3,3,10
15,3,3,10
4,4,3,10
11,4,3,10
15,4,3,4
2,5,3,10
4,5,3,10
6,5,3,4
11,5,3,7
4,6,3,3
8,6,3,10
15,6,3,9
6,7,3,4
8,7,3,9
10,7,3,9
14,7,3,9
15,7,3,10
1,8,3,8
9,8,3,10
12,8,3,9
7,1,4,10
8,1,4,5
11,2,4,0
13,2,4,10
14,2,4,4
4,3,4,4
6,3,4,1
8,3,4,10
10,3,4,10
16,3,4,10
1,4,4,10
15,4,4,9
1,5,4,9
2,5,4,10
4,5,4,10
16,5,4,10
4,6,4,4
15,6,4,4
8,7,4,9
10,7,4,9
14,7,4,9
7,8,4,10
9,8,4,10
11,8,4,8
15,8,4,10
10,1,5,6
12,2,5,2
4,3,5,4
6,3,5,1
8,3,5,10
10,3,5,9
16,3,5,6
11,4,5,1
4,5,5,10
4,6,5,4
11,6,5,3
13,6,5,3
8,7,5,10
10,7,5,10
10,8,5,10
13,8,5,8
11,1,6,7
12,2,6,5
13,2,6,10
14,2,6,4
7,3,6,6
8,3,6,10
10,3,6,9
16,3,6,6
11,4,6,10
15,4,6,10
11,5,6,10
15,5,6,10
11,6,6,10
15,6,6,10
8,7,6,10
10,7,6,9
14,7,6,4
11,8,6,10
12,8,6,9
11,1,7,10
12,1,7,3
15,2,7,4
7,3,7,6
8,3,7,10
10,3,7,8
14,3,7,10
11,4,7,4
16,4,7,6
11,6,7,4
8,7,7,10
10,7,7,10
14,7,7,4
11,8,7,10
12,8,7,9
11,2,8,5
14,2,8,4
16,2,8,5
7,3,8,9
8,3,8,10
12,3,8,10
12,4,8,10
12,5,8,10
7,6,8,10
12,6,8,10
7,7,8,9
12,7,8,10
14,7,8,4
11,8,8,10
16,8,8,10
11,2,9,4
7,3,9,9
8,3,9,10
10,3,9,10
16,4,9,10
16,5,9,10
7,6,9,10
16,6,9,10
7,7,9,9
10,7,9,10
11,7,9,4
10,2,10,4
12,2,10,9
7,3,10,6
8,3,10,9
13,3,10,10
8,7,10,5
10,8,10,10
11,8,10,9
7,2,11,4
9,2,11,9
11,2,11,4
6,3,11,6
10,3,11,10
13,3,11,10
7,4,11,10
12,4,11,4
7,5,11,7
12,6,11,4
8,7,11,4
10,7,11,10
11,7,11,10
11,8,11,9
7,2,12,0
9,2,12,0
11,2,12,0
13,2,12,5
6,3,12,6
7,8,12,5
13,8,12,10
9,2,13,1
7,4,13,0
13,4,13,6
7,6,13,5
9,7,13,4
11,7,13,4
