xmin,xmax,ymin,ymax,zmin,zmax
6,7.027777778,6,7.027777778,13,14
7,8.027777778,6,7.027777778,13,14
8,9.027777778,6,7.027777778,13,14
9,10.02777778,6,7.027777778,13,14
10,11.02777778,6,7.027777778,13,14
11,12.02777778,6,7.027777778,13,14
12,13.02777778,6,7.027777778,13,14
13,14.02777778,6,7.027777778,13,14
6,7.027777778,7,8.027777778,13,14
7,8.027777778,7,8.027777778,13,14
8,9.027777778,7,8.027777778,13,14
9,10.02777778,7,8.027777778,13,14
10,11.02777778,7,8.027777778,13,14
11,12.02777778,7,8.027777778,13,14
12,13.02777778,7,8.027777778,13,14
13,14.02777778,7,8.027777778,13,14
7,8.027777778,8,9.027777778,13,14
8,9.027777778,8,9.027777778,13,14
9,10.02777778,8,9.027777778,13,14
10,11.02777778,8,9.027777778,13,14
11,12.02777778,8,9.027777778,13,14
12,13.02777778,8,9.027777778,13,14
13,14.02777778,8,9.027777778,13,14
9,10.02777778,2,3.027777778,14,15
10,11.02777778,2,3.027777778,14,15
11,12.02777778,2,3.027777778,14,15
12,13.02777778,2,3.027777778,14,15
13,14.02777778,2,3.027777778,14,15
9,10.02777778,3,4.027777778,14,15
10,11.02777778,3,4.027777778,14,15
11,12.02777778,3,4.027777778,14,15
12,13.02777778,3,4.027777778,14,15
13,14.02777778,3,4.027777778,14,15
7,8.027777778,4,5.027777778,14,15
8,9.027777778,4,5.027777778,14,15
9,10.02777778,4,5.027777778,14,15
10,11.02777778,4,5.027777778,14,15
11,12.02777778,4,5.027777778,14,15
12,13.02777778,4,5.027777778,14,15
13,14.02777778,4,5.027777778,14,15
7,8.027777778,5,6.027777778,14,15
8,9.027777778,5,6.027777778,14,15
9,10.02777778,5,6.027777778,14,15
10,11.02777778,5,6.027777778,14,15
11,12.02777778,5,6.027777778,14,15
12,13.02777778,5,6.027777778,14,15
13,14.02777778,5,6.027777778,14,15
7,8.027777778,6,7.027777778,14,15
8,9.027777778,6,7.027777778,14,15
9,10.02777778,6,7.027777778,14,15
10,11.02777778,6,7.027777778,14,15
11,12.02777778,6,7.027777778,14,15
12,13.02777778,6,7.027777778,14,15
13,14.02777778,6,7.027777778,14,15
9,10.02777778,7,8.027777778,14,15
10,11.02777778,7,8.027777778,14,15
11,12.02777778,7,8.027777778,14,15
12,13.02777778,7,8.027777778,14,15
13,14.02777778,7,8.027777778,14,15
9,10.02777778,8,9.027777778,14,15
10,11.02777778,8,9.027777778,14,15
11,12.02777778,8,9.027777778,14,15
12,13.02777778,8,9.027777778,14,15
13,14.02777778,8,9.027777778,14,15
7,8.027777778,4,5.027777778,15,16
8,9.027777778,4,5.027777778,15,16
7,8.027777778,5,6.027777778,15,16
8,9.027777778,5,6.027777778,15,16
9,10.02777778,5,6.027777778,15,16
7,8.027777778,6,7.027777778,15,16
8,9.027777778,6,7.027777778,15,16
